GRE_Score,LOR,CGPA,Chance_of_Admit
337,4.5,9.65,0.92
324,4.5,8.87,0.76
316,3.5,8,0.72
322,2.5,8.67,0.8
314,3,8.21,0.65
330,3,9.34,0.9
321,4,8.2,0.75
308,4,7.9,0.68
302,1.5,8,0.5
323,3,8.6,0.45
325,4,8.4,0.52
327,4.5,9,0.84
328,4.5,9.1,0.78
307,3,8,0.62
311,2,8.2,0.61
314,2.5,8.3,0.54
317,3,8.7,0.66
319,3,8,0.65
318,3,8.8,0.63
303,3,8.5,0.62
312,2,7.9,0.64
325,2,8.4,0.7
328,5,9.5,0.94
334,4.5,9.7,0.95
336,3.5,9.8,0.97
340,4.5,9.6,0.94
322,3.5,8.8,0.76
298,2.5,7.5,0.44
295,2,7.2,0.46
310,2,7.3,0.54
300,3,8.1,0.65
327,4,8.3,0.74
338,4.5,9.4,0.91
340,4,9.6,0.9
331,5,9.8,0.94
320,5,9.2,0.88
299,4,8.4,0.64
300,2,7.8,0.58
304,1.5,7.5,0.52
307,3.5,7.7,0.48
308,3,8,0.46
316,2.5,8.2,0.49
313,2,8.5,0.53
332,4,9.1,0.87
326,4,9.4,0.91
322,4,9.1,0.88
329,5,9.3,0.86
339,4,9.7,0.89
321,5,8.85,0.82
327,4,8.4,0.78
313,4.5,8.3,0.76
312,3.5,7.9,0.56
334,3,8,0.78
324,2.5,8.1,0.72
322,3.5,8,0.7
320,3,7.7,0.64
316,3,7.4,0.64
298,2,7.6,0.46
300,2,6.8,0.36
311,2,8.3,0.42
309,3,8.1,0.48
307,3,8.2,0.47
304,3,8.2,0.54
315,3,8.5,0.56
325,3.5,8.7,0.52
325,3.5,8.92,0.55
327,3,9.02,0.61
316,3.5,8.64,0.57
318,4,9.22,0.68
328,4,9.16,0.78
332,5,9.64,0.94
336,5,9.76,0.96
321,5,9.45,0.93
314,4,9.04,0.84
314,5,8.9,0.74
329,4,8.56,0.72
327,3,8.72,0.74
301,2,8.22,0.64
296,2,7.54,0.44
294,2,7.36,0.46
312,3,8.02,0.5
340,5,9.5,0.96
320,4.5,9.22,0.92
322,4.5,9.36,0.92
340,4.5,9.45,0.94
319,3.5,8.66,0.76
315,3.5,8.42,0.72
317,3,8.28,0.66
314,3.5,8.14,0.64
316,3.5,8.76,0.74
318,4,7.92,0.64
299,3.5,7.66,0.38
298,3,8.03,0.34
301,3,7.88,0.44
303,2.5,7.66,0.36
304,2.5,7.84,0.42
306,3,8,0.48
331,4,8.96,0.86
332,4.5,9.24,0.9
323,4,8.88,0.79
322,3.5,8.46,0.71
312,3,8.12,0.64
314,3.5,8.25,0.62
317,4,8.47,0.57
326,3,9.05,0.74
316,4.5,8.78,0.69
329,4.5,9.18,0.87
338,4.5,9.46,0.91
331,5,9.38,0.93
304,4,8.64,0.68
305,3,8.48,0.61
321,4,8.68,0.69
301,3.5,8.34,0.62
320,3.5,8.56,0.72
311,3,8.45,0.59
310,4.5,9.04,0.66
299,3.5,8.62,0.56
290,2.5,7.46,0.45
296,3.5,7.28,0.47
327,3.5,8.84,0.71
335,5,9.56,0.94
334,4.5,9.48,0.94
310,2.5,8.36,0.57
308,3.5,8.22,0.61
301,3,8.47,0.57
300,3,8.66,0.64
323,3,9.32,0.85
319,2,8.71,0.78
326,3,9.1,0.84
333,5,9.35,0.92
339,4.5,9.76,0.96
303,4.5,8.65,0.77
309,3.5,8.56,0.71
323,4.5,8.78,0.79
333,4,9.28,0.89
314,4,8.77,0.82
312,4,8.45,0.76
316,3,8.16,0.71
326,3,9.08,0.8
318,3.5,9.12,0.78
329,3,9.15,0.84
332,3.5,9.36,0.9
